index	name	color
65793	Background+FreeSurfer_Defined_Medial_Wall	#010101ff
8852344	17Networks_RH_VisCent_Striate_1	#781387ff
8917880	17Networks_RH_VisCent_Striate_2	#781388ff
8458872	17Networks_RH_VisCent_ExStr_1	#781281ff
8524408	17Networks_RH_VisCent_ExStr_2	#781282ff
8589944	17Networks_RH_VisCent_ExStr_3	#781283ff
8655480	17Networks_RH_VisCent_ExStr_4	#781284ff
8721016	17Networks_RH_VisCent_ExStr_5	#781285ff
8786552	17Networks_RH_VisCent_ExStr_6	#781286ff
8852088	17Networks_RH_VisCent_ExStr_7	#781287ff
8393592	17Networks_RH_VisCent_ExStr_8	#781380ff
8459128	17Networks_RH_VisCent_ExStr_9	#781381ff
8524664	17Networks_RH_VisCent_ExStr_10	#781382ff
8590200	17Networks_RH_VisCent_ExStr_11	#781383ff
8655736	17Networks_RH_VisCent_ExStr_12	#781384ff
8721272	17Networks_RH_VisCent_ExStr_13	#781385ff
8786808	17Networks_RH_VisCent_ExStr_14	#781386ff
8983416	17Networks_RH_VisCent_ExStr_15	#781389ff
9048952	17Networks_RH_VisCent_ExStr_16	#78138aff
9114488	17Networks_RH_VisCent_ExStr_17	#78138bff
9180024	17Networks_RH_VisCent_ExStr_18	#78138cff
9245560	17Networks_RH_VisCent_ExStr_19	#78138dff
9311096	17Networks_RH_VisCent_ExStr_20	#78138eff
8852600	17Networks_RH_VisCent_ExStr_21	#781487ff
8918136	17Networks_RH_VisCent_ExStr_22	#781488ff
8983672	17Networks_RH_VisCent_ExStr_23	#781489ff
9049208	17Networks_RH_VisCent_ExStr_24	#78148aff
9114744	17Networks_RH_VisCent_ExStr_25	#78148bff
9180280	17Networks_RH_VisCent_ExStr_26	#78148cff
9245816	17Networks_RH_VisCent_ExStr_27	#78148dff
9311352	17Networks_RH_VisCent_ExStr_28	#78148eff
8852856	17Networks_RH_VisCent_ExStr_29	#781587ff
8918392	17Networks_RH_VisCent_ExStr_30	#781588ff
8983928	17Networks_RH_VisCent_ExStr_31	#781589ff
511	17Networks_RH_VisPeri_StriCal_1	#ff0100ff
131583	17Networks_RH_VisPeri_StriCal_2	#ff0102ff
197119	17Networks_RH_VisPeri_StriCal_3	#ff0103ff
